_time,_value,instance_id
22/03/2024 0:50,4.502548122,
22/03/2024 0:55,4.503440834,
22/03/2024 1:00,4.503889697,
22/03/2024 1:05,4.586355554,
22/03/2024 1:10,4.562882514,
22/03/2024 1:15,4.478241027,
22/03/2024 1:20,4.434772413,
22/03/2024 1:25,4.551504592,
22/03/2024 1:30,4.484669196,
22/03/2024 1:35,4.421364496,
22/03/2024 1:40,4.485878686,
22/03/2024 1:45,4.523329287,
22/03/2024 1:50,4.485881835,
22/03/2024 1:55,4.507936729,
22/03/2024 2:00,4.417181424,
22/03/2024 2:05,4.572149471,
22/03/2024 2:10,4.540136695,
22/03/2024 2:15,4.440359918,
22/03/2024 2:20,4.403886676,
22/03/2024 2:25,4.542640682,
22/03/2024 2:30,4.55499501,
22/03/2024 2:35,4.437810391,
22/03/2024 2:40,4.519873106,
22/03/2024 2:45,4.436660721,
22/03/2024 2:50,4.526237512,
22/03/2024 2:55,4.488427737,
22/03/2024 3:00,4.53808634,
22/03/2024 3:05,4.426013619,
22/03/2024 3:10,4.544434174,
22/03/2024 3:15,4.534095856,
22/03/2024 3:20,4.489446113,
22/03/2024 3:25,4.416569384,
22/03/2024 3:30,4.506318732,
22/03/2024 3:35,4.559770547,
22/03/2024 3:40,4.472221518,
22/03/2024 3:45,4.615646013,
22/03/2024 3:50,4.687619421,
22/03/2024 3:55,4.491055573,
22/03/2024 4:00,4.576061566,
22/03/2024 4:05,4.445357536,
22/03/2024 4:10,4.479288856,
22/03/2024 4:15,4.455961554,
22/03/2024 4:20,4.495053808,
22/03/2024 4:25,4.512173169,
22/03/2024 4:30,4.533022224,
22/03/2024 4:35,4.532640113,
22/03/2024 4:40,4.514023298,
22/03/2024 4:45,4.514466434,
22/03/2024 4:50,4.522842206,
22/03/2024 4:55,4.382739802,
22/03/2024 5:00,4.465482837,
22/03/2024 5:05,4.521697563,
22/03/2024 5:10,4.520403094,
22/03/2024 5:15,4.559984875,
22/03/2024 5:20,4.562487618,
22/03/2024 5:25,4.451638272,
22/03/2024 5:30,4.488532716,
22/03/2024 5:35,4.506066003,
22/03/2024 5:40,4.285263158,
22/03/2024 5:45,4.548437694,
22/03/2024 5:50,4.544947898,
22/03/2024 5:55,4.54789278,
22/03/2024 6:00,4.597363989,
22/03/2024 6:05,4.766010813,
22/03/2024 6:10,4.551864234,
22/03/2024 6:15,4.516903225,
22/03/2024 6:20,4.458137747,
22/03/2024 6:25,4.439732492,
22/03/2024 6:30,4.533842246,
22/03/2024 6:35,4.576288133,
22/03/2024 6:40,4.678798434,
22/03/2024 6:45,4.622693167,
22/03/2024 6:50,4.627797037,
22/03/2024 6:55,4.512718369,
22/03/2024 7:00,4.505694237,
22/03/2024 7:05,4.490100079,
22/03/2024 7:10,4.391036962,
22/03/2024 7:15,4.545531938,
22/03/2024 7:20,4.56489767,
22/03/2024 7:25,4.979719736,
22/03/2024 7:30,4.625805715,
22/03/2024 7:35,4.719741147,
22/03/2024 7:40,4.442217939,
22/03/2024 7:45,4.440020216,
22/03/2024 7:50,5.19147142,
22/03/2024 7:55,4.381610302,
22/03/2024 8:00,4.457026391,
22/03/2024 8:05,4.391688816,
22/03/2024 8:10,4.757763758,
22/03/2024 8:15,4.403262881,
22/03/2024 8:20,4.369398222,
22/03/2024 8:25,4.365549004,
22/03/2024 8:30,4.315077516,
22/03/2024 8:35,4.257831307,
22/03/2024 8:40,4.326135575,
22/03/2024 8:45,4.376595406,
22/03/2024 8:50,4.371569878,
22/03/2024 8:55,4.391683991,
22/03/2024 9:00,4.373178547,
22/03/2024 9:05,4.389192748,
22/03/2024 9:10,4.638222694,
